"Collar","Sample ID","Geol_From","Geol_To","Lab","Dispatch_ID","Lab_Certificate","Dispatch_Date","Sample_Mass","Samp_Date","AuCheck_ppm_Au-AA23","AuCheck_ppm_Au-AA24","AuCheck_ppm_Au-GRA22","RecvdWt_kg_WEI-21","Wgt_KG_WGHT"
"J-1","J1-JES-1","3.85","5.35","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","3.94",""
"J-1","J1-JES-10","17.5","19","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","5.94",""
"J-1","J1-JES-11","19","20.5","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","6.07",""
"J-1","J1-JES-12","20.5","22","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","6.17",""
"J-1","J1-JES-13","22","23.5","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","5.87",""
"J-1","J1-JES-14","23.5","25","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","6.74",""
"J-1","J1-JES-15","25","26.5","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","4.45",""
"J-1","J1-JES-16","26.5","28","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","6.36",""
"J-1","J1-JES-17","28","29.5","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","6.44",""
"J-1","J1-JES-18","29.5","31","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","4.57",""
"J-1","J1-JES-19","31","32.5","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","4.38",""
"J-1","J1-JES-2","5.35","6.85","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","4.04",""
"J-1","J1-JES-20","32.5","34","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","5.27",""
"J-1","J1-JES-21","34","35.5","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","5.93",""
"J-1","J1-JES-22","35.5","37","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","5.31",""
"J-1","J1-JES-23","37","38.5","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","5.66",""
"J-1","J1-JES-24","38.5","40.6","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","8.16",""
"J-1","J1-JES-25","40.6","42.73","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","11.06",""
"J-1","J1-JES-26","42.73","44.23","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","4.67",""
"J-1","J1-JES-27","44.23","45.73","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","5.54",""
"J-1","J1-JES-28","45.73","47.23","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","5.93",""
"J-1","J1-JES-29","47.23","48.73","ALS","","HE10110347 - Finalized","01/01/0001","0","01/01/0001","","","","6.15",""
