"Collar","Sample ID","Geol_From","Geol_To","Thickness","Chk","Comments","Lab","Dispatch_ID","Lab_Certificate","Dispatch_Date","Drill_Sample_Type","Sample_Mass","Sampler","Samp_Date","AuCheck_ppm_Au-AA23","AuCheck_ppm_Au-AA24","AuCheck_ppm_Au-GRA22","RecvdWt_kg_WEI-21"
"JES-25-113","676002","0","1.525","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","3.705","Yuvitza.Davila","10/04/2025","","","","3.64"
"JES-25-113","676003","1.525","3.05","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","5.23","Yuvitza.Davila","10/04/2025","","","","5.23"
"JES-25-113","676004","3.05","4.575","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","7.475","Yuvitza.Davila","10/04/2025","","","","7.47"
"JES-25-113","676005","4.575","6.1","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","6.27","Yuvitza.Davila","10/04/2025","","","","6.27"
"JES-25-113","676006","6.1","7.625","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","5.665","Yuvitza.Davila","10/04/2025","","","","5.55"
"JES-25-113","676007","7.625","9.15","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.085","Yuvitza.Davila","10/04/2025","","","","9.869999999999999"
"JES-25-113","676008","9.15","10.675","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","7.045","Yuvitza.Davila","10/04/2025","","","","7"
"JES-25-113","676009","10.675","12.2","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","8.96","Yuvitza.Davila","10/04/2025","","","","8.970000000000001"
"JES-25-113","676010","12.2","13.725","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.61","Yuvitza.Davila","10/04/2025","","","","9.609999999999999"
"JES-25-113","676011","13.725","15.25","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","5.945","Yuvitza.Davila","10/04/2025","","","","5.94"
"JES-25-113","676012","15.25","16.775","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.965","Yuvitza.Davila","10/04/2025","","","","9.960000000000001"
"JES-25-113","676013","16.775","18.3","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.115","Yuvitza.Davila","10/04/2025","","","","11.12"
"JES-25-113","676014","18.3","19.825","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.47","Yuvitza.Davila","10/04/2025","","","","9.48"
"JES-25-113","676015","19.825","21.35","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","7.04","Yuvitza.Davila","10/04/2025","","","","7.04"
"JES-25-113","676017","21.35","22.875","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","8.96","Yuvitza.Davila","10/04/2025","","","","8.98"
"JES-25-113","676018","22.875","24.4","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","12.205","Yuvitza.Davila","10/04/2025","","","","12.22"
"JES-25-113","676019","24.4","25.925","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","13.055","Yuvitza.Davila","10/04/2025","","","","13.08"
"JES-25-113","676020","25.925","27.45","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.58","Yuvitza.Davila","10/04/2025","","","","9.59"
"JES-25-113","676021","27.45","28.975","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.82","Yuvitza.Davila","10/04/2025","","","","9.84"
"JES-25-113","676022","28.975","30.5","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.475","Yuvitza.Davila","10/04/2025","","","","11.49"
"JES-25-113","676023","30.5","32.025","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.355","Yuvitza.Davila","10/04/2025","","","","9.359999999999999"
"JES-25-113","676024","32.025","33.55","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.675","Yuvitza.Davila","10/04/2025","","","","11.67"
"JES-25-113","676025","33.55","35.075","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.74","Yuvitza.Davila","10/04/2025","","","","11.76"
"JES-25-113","676026","35.075","36.6","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","12.065","Yuvitza.Davila","10/04/2025","","","","12.08"
"JES-25-113","676027","36.6","38.125","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.445","Yuvitza.Davila","10/04/2025","","","","11.46"
"JES-25-113","676028","38.125","39.65","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","13.365","Yuvitza.Davila","10/04/2025","","","","13.38"
"JES-25-113","676029","39.65","41.175","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.7","Yuvitza.Davila","10/04/2025","","","","9.710000000000001"
"JES-25-113","676030","41.175","42.7","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.755","Yuvitza.Davila","10/04/2025","","","","10.77"
"JES-25-113","676031","42.7","44.225","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.875","Yuvitza.Davila","10/04/2025","","","","11.88"
"JES-25-113","676032","44.225","45.75","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","12.13","Yuvitza.Davila","10/04/2025","","","","12.14"
"JES-25-113","676033","45.75","47.275","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.84","Yuvitza.Davila","10/04/2025","","","","11.85"
"JES-25-113","676034","47.275","48.8","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.89","Yuvitza.Davila","10/04/2025","","","","10.91"
"JES-25-113","676035","48.8","50.325","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.44","Yuvitza.Davila","10/04/2025","","","","10.02"
"JES-25-113","676038","50.325","51.85","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.28","Yuvitza.Davila","10/04/2025","","","","9.52"
"JES-25-113","676039","51.85","53.375","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","10.38","Yuvitza.Davila","10/04/2025","","","","10.37"
"JES-25-113","676040","53.375","54.9","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.875","Yuvitza.Davila","10/04/2025","","","","9.880000000000001"
"JES-25-113","676041","54.9","56.425","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","9.405","Yuvitza.Davila","10/04/2025","","","","9.41"
