"Collar","Sample ID","Geol_From","Geol_To","Thickness","Chk","Comments","Lab","Dispatch_ID","Lab_Certificate","Dispatch_Date","Drill_Sample_Type","Sample_Mass","Sampler","Samp_Date","AuCheck_ppm_Au-AA23","AuCheck_ppm_Au-AA24","AuCheck_ppm_Au-GRA22","RecvdWt_kg_WEI-21"
"JES-25-124","677153","0","1.525","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","04/12/2025","Chips_QuarterSplit","2.045","Yuvitza.Davila","11/11/2025","","","","1.99"
"JES-25-124","677154","1.525","3.05","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","1.68","Yuvitza.Davila","11/11/2025","","","","1.61"
"JES-25-124","677155","3.05","4.575","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","3.395","Yuvitza.Davila","11/11/2025","","","","3.16"
"JES-25-124","677156","4.575","6.1","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","3.075","Yuvitza.Davila","11/11/2025","","","","2.97"
"JES-25-124","677157","6.1","7.625","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","8.515","Yuvitza.Davila","11/11/2025","","","","8.300000000000001"
"JES-25-124","677158","7.625","9.15","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","5.545","Yuvitza.Davila","11/11/2025","","","","5.56"
"JES-25-124","677159","9.15","10.675","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","8.46","Yuvitza.Davila","11/11/2025","","","","8.390000000000001"
"JES-25-124","677160","10.675","12.2","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","10.82","Yuvitza.Davila","11/11/2025","","","","10.79"
"JES-25-124","677161","12.2","13.725","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","9.36","Yuvitza.Davila","11/11/2025","","","","9.300000000000001"
"JES-25-124","677162","13.725","15.25","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","9.705","Yuvitza.Davila","11/11/2025","","","","9.73"
"JES-25-124","677163","15.25","16.775","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","9.79","Yuvitza.Davila","11/11/2025","","","","9.800000000000001"
"JES-25-124","677164","16.775","18.3","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","10.72","Yuvitza.Davila","11/11/2025","","","","10.49"
"JES-25-124","677165","18.3","19.825","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","9.24","Yuvitza.Davila","11/11/2025","","","","9.029999999999999"
"JES-25-124","677166","19.825","21.35","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","10.425","Yuvitza.Davila","11/11/2025","","","","10.34"
"JES-25-124","677168","21.35","22.875","1.53","1","","ALS","PIL-098","HE25388600 - Finalized","11/11/2025","Chips_QuarterSplit","9.155","Yuvitza.Davila","11/11/2025","","","","9.06"
